ASPEN,CAPITEC,IMPLATS,GROWPNT,REINET,PROSUS,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,NEPIROCK,OMUTUAL,MR_PRICE,ABSAGROUP,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,GLENCORE,SHOPRIT,MC_GROUP,INVLTD,MONDIPLC,BIDCORP,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,SIBANYE-S,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP,BHP
70,0.0,700,1625,0.0,0.0,785.0,21450.0,0.0,0.0,0.0,0.0,0.0,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7350,5316,0.0,0.0,2750.0,1900,0.0,0.0,0.0,0.0
70,0.0,706,1625,0.0,0.0,785.0,20350.0,0.0,0.0,0.0,0.0,0.0,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7425,5371,0.0,0.0,2700.0,1925,0.0,0.0,0.0,0.0
70,0.0,738,1625,0.0,0.0,775.0,20250.0,0.0,0.0,0.0,0.0,0.0,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7400,5577,0.0,0.0,2700.0,2000,0.0,0.0,0.0,0.0
70,0.0,725,1625,0.0,0.0,775.0,20450.0,0.0,0.0,0.0,0.0,0.0,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7525,5714,0.0,0.0,2650.0,2050,0.0,0.0,0.0,0.0
70,0.0,731,1625,0.0,0.0,725.0,21300.0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7400,5879,0.0,0.0,2700.0,2250,0.0,0.0,0.0,0.0
70,0.0,725,1625,0.0,0.0,700.0,21250.0,0.0,0.0,0.0,0.0,0.0,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7450,5755,0.0,0.0,2725.0,2200,0.0,0.0,0.0,0.0
70,0.0,728,1625,0.0,0.0,700.0,21450.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7500,5632,0.0,0.0,2725.0,2225,0.0,0.0,0.0,0.0
70,0.0,728,1550,0.0,0.0,700.0,20900.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070,0.0,100.0,0.0,980,0.0,0.0,0.0,0.0,7500,5495,0.0,0.0,2750.0,2225,0.0,0.0,0.0,0.0
70,0.0,722,1550,0.0,0.0,700.0,20200.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,7500,5371,0.0,0.0,2750.0,2250,0.0,0.0,0.0,0.0
70,0.0,706,1550,0.0,0.0,700.0,20000.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,7500,5192,0.0,0.0,2775.0,2265,0.0,0.0,0.0,0.0
80,0.0,706,1550,0.0,0.0,700.0,19900.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,7500,5041,0.0,0.0,2800.0,2100,0.0,0.0,0.0,0.0
80,0.0,700,1550,0.0,0.0,700.0,19500.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,7625,5137,0.0,0.0,2800.0,2150,0.0,0.0,0.0,0.0
80,0.0,719,1550,0.0,0.0,700.0,18350.0,0.0,0.0,0.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,7950,5275,0.0,0.0,2700.0,2200,0.0,0.0,0.0,0.0
80,0.0,763,1550,0.0,0.0,700.0,19000.0,0.0,0.0,0.0,0.0,0.0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010,0.0,100.0,0.0,980,0.0,0.0,0.0,0.0,7900,5440,0.0,0.0,2725.0,2250,0.0,0.0,0.0,0.0
80,0.0,756,1550,0.0,0.0,700.0,19900.0,0.0,0.0,0.0,0.0,0.0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015,0.0,100.0,0.0,960,0.0,0.0,0.0,0.0,7900,5371,0.0,0.0,2725.0,2225,0.0,0.0,0.0,0.0
80,0.0,750,1750,0.0,0.0,650.0,21000.0,0.0,0.0,0.0,0.0,0.0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010,0.0,100.0,0.0,940,0.0,0.0,0.0,0.0,7600,5330,0.0,0.0,2725.0,2225,0.0,0.0,0.0,0.0
80,0.0,750,1750,0.0,0.0,600.0,20900.0,0.0,0.0,0.0,0.0,0.0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,100.0,0.0,940,0.0,0.0,0.0,0.0,7800,5330,0.0,0.0,2750.0,2175,0.0,0.0,0.0,0.0
80,0.0,764,1750,0.0,0.0,650.0,20300.0,0.0,0.0,0.0,0.0,0.0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990,0.0,100.0,0.0,950,0.0,0.0,0.0,0.0,7900,5275,0.0,0.0,2750.0,2150,0.0,0.0,0.0,0.0
80,0.0,763,1750,0.0,0.0,650.0,20250.0,0.0,0.0,0.0,0.0,0.0,345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,0.0,100.0,0.0,950,0.0,0.0,0.0,0.0,8225,5137,0.0,0.0,2725.0,2165,0.0,0.0,0.0,0.0
