ASPEN,CAPITEC,IMPLATS,GROWPNT,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,SHOPRIT,INVLTD,MONDIPLC,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP
5057,4250.0,16201,1315,3469.0,29600.0,21990.0,7550.0,1215.0,19637.0,1820.0,2665,1705.0,7300.0,8624.0,1639.0,8515,5400.0,4340,2700.0,4352.0,2497.0,53815,20537,1169.0,9250.0,29650,5500.0,5525.0,11849.0
5268,4100.0,16400,1287,3300.0,29800.0,22500.0,7860.0,1225.0,19777.0,1800.0,2691,1705.0,7300.0,8691.0,1635.0,8550,5400.0,4355,2640.0,4380.0,2530.0,53100,21075,1153.0,9478.0,29750,5458.0,5398.0,11751.0
5092,4150.0,16339,1279,3185.0,30790.0,22675.0,8075.0,1225.0,19637.0,1796.0,2581,1699.0,7400.0,8271.0,1675.0,8500,5300.0,4484,2685.0,4475.0,2500.0,53200,21685,1139.0,9500.0,28110,5490.0,5328.0,12125.0
5000,4250.0,15600,1279,3000.0,28901.0,22832.0,7749.0,1225.0,19337.0,1780.0,2595,1685.0,7115.0,8216.0,1615.0,8271,5490.0,4350,2580.0,4345.0,2410.0,51699,22610,1130.0,9322.0,27000,5562.0,5340.0,11900.0
5360,4190.0,16003,1299,3035.0,28420.0,22825.0,7680.0,1235.0,19837.0,1770.0,2665,1725.0,7001.0,8536.0,1608.0,8315,5500.0,4300,2560.0,4216.0,2490.0,52600,22125,1131.0,9250.0,27000,5515.0,5410.0,11950.0
5350,4095.0,16648,1288,2970.0,29550.0,22732.0,7761.0,1225.0,19787.0,1775.0,2604,1750.0,7205.0,8633.0,1625.0,8500,5440.0,4425,2650.0,4287.0,2501.0,52900,23999,1134.0,9599.0,26300,5553.0,5600.0,12076.0
5590,4075.0,16900,1285,3120.0,30000.0,22156.0,7880.0,1250.0,19787.0,1805.0,2691,1755.0,7370.0,8624.0,1599.0,8426,5445.0,4411,2632.0,4350.0,2521.0,53500,23500,1173.0,9310.0,27000,5617.0,5575.0,11851.0
5610,4100.0,17250,1296,3130.0,29825.0,21951.0,7800.0,1264.0,19637.0,1800.0,2707,1735.0,7394.0,8527.0,1625.0,8700,5320.0,4425,2729.0,4330.0,2591.0,55389,23485,1190.0,9450.0,27125,5760.0,5600.0,11990.0
5475,4150.0,16750,1300,3100.0,29500.0,21845.0,7740.0,1278.0,20287.0,1840.0,2714,1728.0,7400.0,8230.0,1637.0,9015,5500.0,4300,2706.0,4372.0,2590.0,54551,23260,1195.0,9710.0,26660,5760.0,5600.0,11900.0
5629,4190.0,17045,1300,3000.0,28302.0,21300.0,7575.0,1295.0,20600.0,1830.0,2694,1733.0,7411.0,8513.0,1616.0,8870,5530.0,4240,2721.0,4165.0,2584.0,55800,22300,1220.0,9805.0,26998,5600.0,5720.0,11831.0
5440,4245.0,17350,1288,3000.0,29250.0,21550.0,7820.0,1325.0,20861.0,1835.0,2716,1730.0,7725.0,8185.0,1679.0,8980,5681.0,4457,2711.0,4351.0,2600.0,53015,23394,1183.0,10185.0,28617,5675.0,5730.0,11900.0
